place,lat,lon
mumba,-15.38648,35.3383
makata,-15.38617,35.33835
kanjedza,-15.38595,35.3388
lubani,-15.3864,35.339
chilembwe,-15.3867,35.3387
dunduzu,-15.38617,35.33915
umodzi,-15.38695,35.339
sangala,-15.3873,35.33975
chirunga,-15.38909,35.3394
tchaka,-15.3882255,35.33993
mbelwa,-15.38816,35.3404
shakespeare,-15.38845,35.34055
khondowe,-15.3879,35.3404
kenyatta,-15.3888,35.33985
valley,-15.38816,35.34085
kwacha,-15.38872,35.33864
kamuzu,-15.388,35.33897
gweru,-15.38835,35.3391
beit trust,-15.3882255,35.33882
kachere,-15.3888,35.33929
chikanda,-15.39125,35.33405
chingwe,-15.3885355,35.33993
